skills,job_role
python,ml engineer
python numpy pandas,data analyst
python deep learning tensorflow,ai engineer
sql excel powerbi,data analyst
java spring sql,backend developer
html css javascript,frontend developer
python sklearn data visualization,data analyst
python nlp deep learning,ml engineer
javascript react node,frontend developer
python django rest api,backend developer
aws docker kubernetes,devops engineer
python fastapi sql,backend developer
tableau sql data analysis,data analyst
python pytorch computer vision,ai engineer
java microservices spring boot,backend developer
html css javascript react,frontend developer
python selenium testing,qa engineer
c# .net sql server,backend developer
python data science statistics,data scientist
javascript vue.js typescript,frontend developer
python flask mongodb,backend developer
r statistics data visualization,data analyst
python scikit-learn pandas,ml engineer
angular typescript rxjs,frontend developer
python opencv image processing,ai engineer
sql nosql database design,database administrator
python keras neural networks,ai engineer
javascript node express mongodb,backend developer
python scrapy data extraction,data engineer
powerbi dax excel,data analyst
python pyspark big data,data engineer
java spring security oauth,backend developer
react native javascript,mobile developer
python tensorflow keras,ai engineer
git github ci cd,devops engineer
python airflow etl,data engineer
javascript webpack babel,frontend developer
python transformers nlp,ml engineer
terraform aws infrastructure,devops engineer
python dash plotly,data analyst
employee relations talent acquisition performance management compensation and benefits employment laws and regulations analytical skills employee benefits administration HR policies and procedures recruitment strategies FMLA ADA communication interpersonal skills collaboration influence change management professional development payroll processing job design salary administration human capital management system HR audits and assessments FLSA ERISA EEOC guidelines confidentiality intellectual curiosity,Sr Human Resource Generalist
Talent Acquisition Employee Performance Management Legal Compliance Payroll Processing Microsoft Office Policy Development Training and Development Background Checks Collaboration Communication Problem Solving Leadership Organizational Skills Attention to Detail Adaptability SHRM-CP Certification,Human Resources Manager
Human Resources Management Recruitment Employee Relations Performance Management Compliance with Labor Laws Data Management Training & Development Payroll Management Project Management Computer Skills Communication Team Building Attention to Detail Problem Solving Conflict Management Leadership Time Management Collaboration Motivation Adaptability,Director of Human Resources
talent management organizational development HR compliance HR technology systems data-driven HR analytics compensation and benefits strategies strategic HR planning workforce planning employee development performance management leadership communication collaboration creativity inclusivity change management employee engagement problem solving,Chief Human Resources Officer
Microsoft Office Data analysis Employee onboarding Strategic thinking Problem solving Time management Attention to detail Communication Customer service Interpersonal skills Independence HRIS systems Organizational development Change management Compliance reporting Performance management Job description creation Employee investigations Conflict negotiation Confidentiality,Human Resources Generalist (Hybrid Role)
HR management talent acquisition labor compliance employee relations benefits administration payroll management safety procedures communication leadership teamwork problem solving organizational skills attention to detail flexibility positive attitude self-starter ERP software Excel O365 tools discrepancy resolution customer relations,Human Resources Manager
Microsoft Office communication attention to detail professionalism recruitment training onboarding performance management HRIS (Ceridian/Dayforce) benefits administration knowledge of HR laws employee relations time management teamwork confidentiality stress management initiative relationship building collaboration,Human Resources Generalist
ADP HRIS reporting data compilation Excel technology solutions compliance knowledge collaboration communication problem solving recommendation making attention to detail self-management organizational skills data analysis HR data metrics data cleaning data integration HRIS configuration business requirements gathering workflow development,Human Resources Information System Specialist
recruitment payroll administration compliance human resources management policy adherence manufacturing HR experience interpersonal skills communication relationship building onboarding employee termination benefits administration,Human Resources Generalist
Project Documentation Communication Stakeholder Management Relationship Building Problem Solving Team Collaboration Leadership Adaptability HR Project Management Smartsheets Creating HR Training Programs Creating HR Communications Managing Complex Employee Events Change Management Risk Management PMP Certification SHRM-CP Certification Confidentiality,Human Resources Project Manager
HRIS Configuration Data Analysis Process Improvement Communication Collaboration Problem Solving Mentoring Customer Service Diplomacy Consulting UKG Pro UKG Workforce Management Business Intelligence Cognos Reporting Technical Support,Human Resources Information System Partner III
HR administration onboarding policy development Bachelor's degree customer service relationship building problem solving communication self-motivation teamwork flexibility autonomy job description creation HR consulting CRM management reference checks background checks drug screenings valid driver's license,Human Resources Specialist
HRIS systems Microsoft Office data analysis project management onboarding training development conflict resolution communication problem solving relationship building organizational skills critical thinking independent thinking attention to detail employment law customer service,Human Resources Generalist
"HR experience HR systems (SuccessFactors, Workday, SAP) Workforce planning Advanced Excel PowerPoint Budget control Financial measures Hiring procedures Internal communication reporting Analytical skills Ability to thrive under pressure Multi-tasking Attention to detail Proactive Self-motivated Flexible attitude Collaboration Communication International teamwork Spanish speaking",Human Resources Coordinator
Human Resources Management Employee Relations Compliance with Labor Laws MS Office HRIS Systems Training and Development Policy Development Recruitment Strategies Data Analysis Project Management Communication Leadership Organizational Skills Teamwork Problem Solving Confidentiality Flexibility Mentoring Interpersonal Skills Adaptability,Director of Human Resources
employee relations training employment benefits management payroll functions Microsoft Excel Microsoft Word budget management reporting pre-employment screening onboarding communication problem solving detail-oriented multi-tasking interpersonal skills flexibility teamwork time management customer service compliance HRIS software Microsoft Outlook ISO standards patience,Human Resources Generalist
Human Resources Microsoft Office Organizational Skills Clerical Skills Communication Customer Service Proactive Problem Solving Professional Attitude Team Support E-Verify System Bilingual (English/Spanish),Human Resources Assistant
Microsoft Word Microsoft PowerPoint Microsoft Excel HRIS Pivot Tables VLOOKUP Communication Attention to Detail Professionalism Teamwork Positive Attitude Adaptability,Junior Human Resources Consultant
industrial relations human resources management employee relations project management data analysis negotiation HR operational planning people development communication relationship building problem solving collaboration strategic thinking leadership adaptability influence empathy organizational design compliance cultural awareness,Human Resources Business Partner
project management data analysis business acumen employee engagement strategies leadership collaboration communication problem solving strategic agility time management adaptability self-motivation continuous improvement mindset agile methodologies organizational change management risk analysis,Human Resources Solutions Manager
payroll administration HR laws and regulations employee benefits administration onboarding and offboarding processes communication organizational skills teamwork discretion independence problem solving compliance auditing report generation documentation management attention to detail,Human Resources Generalist
HRIS labor laws policy development performance management talent acquisition onboarding digital tools conflict resolution communication interpersonal skills problem solving organizational skills change management team collaboration relationship building attention to detail HCM HRMS training program design,Human Resources Generalist
Human Resources Management Employee Training and Development Human Resource Theories and Principles Performance Measurement Data Analysis Leadership Communication Team Management Problem Solving Interpersonal Skills Confidentiality Collaboration Adaptability Decision Making Compensation and Benefits Policy Development Standard Operating Procedures (SOPs) Budget Preparation Regulatory Compliance Strategic Thinking,Supervisory Human Resources Specialist
MS Office Excel Data Management Attention to Detail Organizational Skills Communication Teamwork Adaptability Confidentiality Problem Solving Self-Motivation Logistics Coordination Scheduling,Human Resources Coordinator - A&F Co.
human resources computer proficiency communication relationship building teamwork problem solving accountability commitment adaptability recruiting background checks interviewing skills ATS (Applicant Tracking System) word processing software spreadsheet software EEO/AAP legislation business English integrity,Human Resources Recruiter
Microsoft Excel Microsoft PowerPoint Microsoft Word Project Management Communication Time Management Organizational Skills Critical Thinking Decision Making Microsoft Outlook Social Media Marketing CRM Management Confidentiality,Human Resources Intern
Human Resources Management Recruitment Employee Relations HRIS Payroll Management Compensation Analysis Benefits Administration Training and Development Microsoft Office Compliance with Labor Laws Market Analysis Leadership Communication Problem Solving Team Building Collaboration Conflict Resolution Adaptability Interpersonal Skills Organizational Skills Strategic Thinking Workday,Human Resources Manager
HR Management Employee Relations Compliance Talent Acquisition Training Program Design Performance Management Regulatory Compliance Employee Orientation Professional Development Communication Leadership Interpersonal Skills Problem Solving Time Management Teamwork Integrity Approachability Adaptability Professionalism Attention to Detail Delegation Budget Management HR Policies Development Compensation Planning HRIS Data Analysis Conflict Resolution Safety Training Background Checks Employee Benefits Administration Workplace Culture Improvement Organizational Strategy Development Payroll Management HR Audits Analytical Skills Negotiation Conflict Management,Chief Human Resource Officer
HRIS Payroll Software Time Management Communication Skills Interpersonal Skills Problem Solving Organizational Skills Self-Motivation Attention to Detail Customer Focus Planning & Organizing Critical Thinking Microsoft Office Suite Analytical Skills Mathematical Skills Bilingual (Chinese/Spanish),Human Resources Assistant
Bachelor's Degree HRBP Experience Business Acumen Workforce/Talent Strategy Development Organizational Effectiveness Microsoft Office Talent Acquisition Performance Management Collaboration Interpersonal Skills Adaptability Influencing Senior Leaders Relationship Building Communication HRIS Systems (Workday) Excel Pivot Tables Active Listening Agility Empathy Flexibility,Human Resources Generalist
